train_loss,train_accuracy,val_loss,val_accuracy
1.256528291437361,0.2638888888888889,1.2968247652053833,0.25
1.2458030581474304,0.2222222222222222,1.14721360206604,0.35
1.1918650203280978,0.3055555555555556,1.3550415277481078,0.25
1.1770567562845018,0.20833333333333334,1.0902465343475343,0.45
1.1378633148140378,0.3194444444444444,1.1135415077209472,0.25
1.099827726682027,0.3472222222222222,1.1154342889785767,0.35
1.1431025266647339,0.3611111111111111,1.0995048761367798,0.25
1.1139214502440558,0.2638888888888889,1.1130712032318115,0.35
1.111069036854638,0.3194444444444444,1.0922149419784546,0.3
1.1154574023352728,0.25,1.095178747177124,0.3
1.1164992716577318,0.20833333333333334,1.096037244796753,0.35
1.1192037529415555,0.3055555555555556,1.0811062097549438,0.35
1.123704042699602,0.25,1.0957843542099,0.3
1.1121135751406352,0.2777777777777778,1.1048190355300904,0.3
1.1291142768330045,0.3472222222222222,1.0896839380264283,0.35
1.1118837594985962,0.2777777777777778,1.0746201753616333,0.4
1.1058174636628892,0.375,1.1028743505477905,0.3
1.124675002362993,0.2638888888888889,1.0784533500671387,0.4
1.1254471805360582,0.20833333333333334,1.0890239834785462,0.3
1.1198915011352963,0.3472222222222222,1.090170192718506,0.3
1.1148696078194513,0.2361111111111111,1.0698764085769654,0.35
1.1061704357465107,0.2916666666666667,1.0863792419433593,0.3
1.1215291288163927,0.25,1.058929204940796,0.35
1.1333920690748427,0.2916666666666667,1.0766133069992065,0.35
1.1263934671878815,0.3333333333333333,1.0797826170921325,0.3
1.0938458972507052,0.375,1.069694745540619,0.35
1.1202120582262676,0.2361111111111111,1.047786009311676,0.5
1.1029775970511966,0.2638888888888889,1.0775344610214233,0.3
1.1086293425824907,0.3333333333333333,1.0705823302268982,0.35
1.104504022333357,0.2777777777777778,1.04227294921875,0.3
1.1228653921021357,0.2777777777777778,1.0916038274765014,0.3
1.1251951588524713,0.2777777777777778,1.0440706372261048,0.35
1.0882469879256353,0.3611111111111111,1.0822827458381652,0.3
1.1160674459404416,0.3055555555555556,1.072067141532898,0.3
1.1002278625965118,0.3611111111111111,1.0525668144226075,0.3
1.1052689750989277,0.2916666666666667,1.0482051968574524,0.35
1.0986043082343206,0.2916666666666667,1.0692741513252257,0.35
1.1128097143438127,0.3194444444444444,1.0543030023574829,0.3
1.099747469027837,0.375,1.0753623962402343,0.3
1.109384172492557,0.2638888888888889,1.0507237195968628,0.35
1.1039202908674877,0.2777777777777778,1.0675765872001648,0.35
1.1231722566816542,0.25,1.0435943722724914,0.4
1.1037946873241,0.3611111111111111,1.1497866630554199,0.3
1.118251555495792,0.2777777777777778,1.0487561225891113,0.45
1.1207484934065077,0.2916666666666667,1.069670271873474,0.3
